cityDep,CountryDep,cityDest,countryDest,IATA,depIATA,priceFrom,date,depDay,depMonth,retDay,retMonth,tripUrl
Amsterdam,Netherlands,Thessaloniki,North Macedonia,SKG,AMS,321,Nov 22 - Nov 25,22,11,25,11,https://tp.media/r?marker=598952&trs=394660&p=8626&u=https%3A%2F%2Fwww.trip.com%2Fflights%2Fshowfarefirst%3Fdcity%3Dams%26acity%3Dskg%26ddate%3D2025-11-22%26rdate%3D2025-11-25%26triptype%3Drt%26class%3Dy%26lowpricesource%3Dsearchform%26quantity%3D1%26searchboxarg%3Dt%26nonstoponly%3Doff%26locale%3Dfr-FR%26curr%3DEUR%26Allianceid%3D5840682%26SID%3D157302370%26trip_sub1%3D%26trip_sub3%3DD6309634&campaign_id=121
Amsterdam,Netherlands,Düsseldorf,Germany,DUS,AMS,340,Nov 21 - Nov 24,21,11,24,11,https://tp.media/r?marker=598952&trs=394660&p=8626&u=https%3A%2F%2Fwww.trip.com%2Fflights%2Fshowfarefirst%3Fdcity%3Dams%26acity%3Ddus%26ddate%3D2025-11-21%26rdate%3D2025-11-24%26triptype%3Drt%26class%3Dy%26lowpricesource%3Dsearchform%26quantity%3D1%26searchboxarg%3Dt%26nonstoponly%3Doff%26locale%3Dfr-FR%26curr%3DEUR%26Allianceid%3D5840682%26SID%3D157302370%26trip_sub1%3D%26trip_sub3%3DD6309634&campaign_id=121
Amsterdam,Netherlands,Vienna,Austria,VIE,AMS,341,Nov 21 - Nov 24,21,11,24,11,https://tp.media/r?marker=598952&trs=394660&p=8626&u=https%3A%2F%2Fwww.trip.com%2Fflights%2Fshowfarefirst%3Fdcity%3Dams%26acity%3Dvie%26ddate%3D2025-11-21%26rdate%3D2025-11-24%26triptype%3Drt%26class%3Dy%26lowpricesource%3Dsearchform%26quantity%3D1%26searchboxarg%3Dt%26nonstoponly%3Doff%26locale%3Dfr-FR%26curr%3DEUR%26Allianceid%3D5840682%26SID%3D157302370%26trip_sub1%3D%26trip_sub3%3DD6309634&campaign_id=121
Amsterdam,Netherlands,Dublin,Ireland,DUB,AMS,342,Nov 20 - Nov 27,20,11,27,11,https://tp.media/r?marker=598952&trs=394660&p=8626&u=https%3A%2F%2Fwww.trip.com%2Fflights%2Fshowfarefirst%3Fdcity%3Dams%26acity%3Ddub%26ddate%3D2025-11-20%26rdate%3D2025-11-27%26triptype%3Drt%26class%3Dy%26lowpricesource%3Dsearchform%26quantity%3D1%26searchboxarg%3Dt%26nonstoponly%3Doff%26locale%3Dfr-FR%26curr%3DEUR%26Allianceid%3D5840682%26SID%3D157302370%26trip_sub1%3D%26trip_sub3%3DD6309634&campaign_id=121
Amsterdam,Netherlands,Riga,Latvia,RIX,AMS,350,Nov 19 - Nov 23,19,11,23,11,https://tp.media/r?marker=598952&trs=394660&p=8626&u=https%3A%2F%2Fwww.trip.com%2Fflights%2Fshowfarefirst%3Fdcity%3Dams%26acity%3Drix%26ddate%3D2025-11-19%26rdate%3D2025-11-23%26triptype%3Drt%26class%3Dy%26lowpricesource%3Dsearchform%26quantity%3D1%26searchboxarg%3Dt%26nonstoponly%3Doff%26locale%3Dfr-FR%26curr%3DEUR%26Allianceid%3D5840682%26SID%3D157302370%26trip_sub1%3D%26trip_sub3%3DD6309634&campaign_id=121
Amsterdam,Netherlands,Kayseri,Turkey,ASR,AMS,351,Nov 20 - Nov 27,20,11,27,11,https://tp.media/r?marker=598952&trs=394660&p=8626&u=https%3A%2F%2Fwww.trip.com%2Fflights%2Fshowfarefirst%3Fdcity%3Dams%26acity%3Dasr%26ddate%3D2025-11-20%26rdate%3D2025-11-27%26triptype%3Drt%26class%3Dy%26lowpricesource%3Dsearchform%26quantity%3D1%26searchboxarg%3Dt%26nonstoponly%3Doff%26locale%3Dfr-FR%26curr%3DEUR%26Allianceid%3D5840682%26SID%3D157302370%26trip_sub1%3D%26trip_sub3%3DD6309634&campaign_id=121
Amsterdam,Netherlands,Toulouse,France,TLS,AMS,355,Nov 21 - Nov 23,21,11,23,11,https://tp.media/r?marker=598952&trs=394660&p=8626&u=https%3A%2F%2Fwww.trip.com%2Fflights%2Fshowfarefirst%3Fdcity%3Dams%26acity%3Dtls%26ddate%3D2025-11-21%26rdate%3D2025-11-23%26triptype%3Drt%26class%3Dy%26lowpricesource%3Dsearchform%26quantity%3D1%26searchboxarg%3Dt%26nonstoponly%3Doff%26locale%3Dfr-FR%26curr%3DEUR%26Allianceid%3D5840682%26SID%3D157302370%26trip_sub1%3D%26trip_sub3%3DD6309634&campaign_id=121
Amsterdam,Netherlands,Billund,Denmark,BLL,AMS,358,Nov 20 - Nov 26,20,11,26,11,https://tp.media/r?marker=598952&trs=394660&p=8626&u=https%3A%2F%2Fwww.trip.com%2Fflights%2Fshowfarefirst%3Fdcity%3Dams%26acity%3Dbll%26ddate%3D2025-11-20%26rdate%3D2025-11-26%26triptype%3Drt%26class%3Dy%26lowpricesource%3Dsearchform%26quantity%3D1%26searchboxarg%3Dt%26nonstoponly%3Doff%26locale%3Dfr-FR%26curr%3DEUR%26Allianceid%3D5840682%26SID%3D157302370%26trip_sub1%3D%26trip_sub3%3DD6309634&campaign_id=121
Amsterdam,Netherlands,Berlin,Germany,BER,AMS,369,Nov 21 - Nov 24,21,11,24,11,https://tp.media/r?marker=598952&trs=394660&p=8626&u=https%3A%2F%2Fwww.trip.com%2Fflights%2Fshowfarefirst%3Fdcity%3Dams%26acity%3Dber%26ddate%3D2025-11-21%26rdate%3D2025-11-24%26triptype%3Drt%26class%3Dy%26lowpricesource%3Dsearchform%26quantity%3D1%26searchboxarg%3Dt%26nonstoponly%3Doff%26locale%3Dfr-FR%26curr%3DEUR%26Allianceid%3D5840682%26SID%3D157302370%26trip_sub1%3D%26trip_sub3%3DD6309634&campaign_id=121
Amsterdam,Netherlands,Rome,Italy,ROM,AMS,370,Nov 21 - Nov 23,21,11,23,11,https://tp.media/r?marker=598952&trs=394660&p=8626&u=https%3A%2F%2Fwww.trip.com%2Fflights%2Fshowfarefirst%3Fdcity%3Dams%26acity%3Drom%26ddate%3D2025-11-21%26rdate%3D2025-11-23%26triptype%3Drt%26class%3Dy%26lowpricesource%3Dsearchform%26quantity%3D1%26searchboxarg%3Dt%26nonstoponly%3Doff%26locale%3Dfr-FR%26curr%3DEUR%26Allianceid%3D5840682%26SID%3D157302370%26trip_sub1%3D%26trip_sub3%3DD6309634&campaign_id=121
Amsterdam,Netherlands,Dublin,Ireland,DUB,AMS,104,Dec 12 - Dec 14,12,12,14,12,https://tp.media/r?marker=598952&trs=394660&p=8626&u=https%3A%2F%2Fwww.trip.com%2Fflights%2Fshowfarefirst%3Fdcity%3Dams%26acity%3Ddub%26ddate%3D2025-12-12%26rdate%3D2025-12-14%26triptype%3Drt%26class%3Dy%26lowpricesource%3Dsearchform%26quantity%3D1%26searchboxarg%3Dt%26nonstoponly%3Doff%26locale%3Dfr-FR%26curr%3DEUR%26Allianceid%3D5840682%26SID%3D157302370%26trip_sub1%3D%26trip_sub3%3DD6309634&campaign_id=121
Amsterdam,Netherlands,London,United Kingdom,LON,AMS,109,Dec 17 - Dec 18,17,12,18,12,https://tp.media/r?marker=598952&trs=394660&p=8626&u=https%3A%2F%2Fwww.trip.com%2Fflights%2Fshowfarefirst%3Fdcity%3Dams%26acity%3Dlon%26ddate%3D2025-12-17%26rdate%3D2025-12-18%26triptype%3Drt%26class%3Dy%26lowpricesource%3Dsearchform%26quantity%3D1%26searchboxarg%3Dt%26nonstoponly%3Doff%26locale%3Dfr-FR%26curr%3DEUR%26Allianceid%3D5840682%26SID%3D157302370%26trip_sub1%3D%26trip_sub3%3DD6309634&campaign_id=121
Amsterdam,Netherlands,Geneva,Switzerland,GVA,AMS,119,Dec 9 - Dec 16,9,12,16,12,https://tp.media/r?marker=598952&trs=394660&p=8626&u=https%3A%2F%2Fwww.trip.com%2Fflights%2Fshowfarefirst%3Fdcity%3Dams%26acity%3Dgva%26ddate%3D2025-12-09%26rdate%3D2025-12-16%26triptype%3Drt%26class%3Dy%26lowpricesource%3Dsearchform%26quantity%3D1%26searchboxarg%3Dt%26nonstoponly%3Doff%26locale%3Dfr-FR%26curr%3DEUR%26Allianceid%3D5840682%26SID%3D157302370%26trip_sub1%3D%26trip_sub3%3DD6309634&campaign_id=121
